threshold,F1_measure,accuracy,True Positive Rate / Recall,False Positive Rate,Positive Predictive Value / Precision
0.33,0.7306686589465821,0.901882513041506,0.7455215347478084,0.06413760733316767,0.7163960444390184
0.32,0.730244895441367,0.9008165116806532,0.7520010163892771,0.06684336950219498,0.7097122302158273
0.31,0.729967069154775,0.8995690632796552,0.7603862279252954,0.07018415748640217,0.7018881200891286
0.3,0.7296857091150388,0.8983669766386936,0.7683902934824037,0.07338689638035285,0.6946933149552033
0.34,0.7291797512875265,0.90220004536176,0.7375174691907,0.06201165134321765,0.7210284436715936
0.35000000000000003,0.7286693753174199,0.9030619188024496,0.7291322576546817,0.05914023026588255,0.7282070803197563
0.29,0.7284744551625579,0.8965751871172601,0.777156650997332,0.07747314945194511,0.6855317718256192
0.28,0.727176408264171,0.8948741211158993,0.7847795705755304,0.08120047488887049,0.6774511954375959
0.27,0.7268187888288916,0.8932864595146291,0.795197560665735,0.08539716723266794,0.6692686056458511
0.26,0.7262109240810717,0.891540031753232,0.8057425994155761,0.08981473812087579,0.6609692548202188
0.36,0.725817809359196,0.9028577908822862,0.7202388514801169,0.05745603136475331,0.7314838709677419
0.25,0.7249618708693442,0.8895667951916534,0.8152712488883243,0.09428752864518623,0.6526647681041498
0.24,0.7231215808864576,0.8875028351100023,0.8228941684665226,0.09845661117093238,0.6449268146968038
0.37,0.7228527211761672,0.902517577682014,0.7121077372633718,0.056103150280239655,0.7339269346602069
0.38,0.7216521626185219,0.9027897482422318,0.7058823529411765,0.05441895137911041,0.7381426863292149
0.23,0.7215755502841066,0.8855295985484237,0.830898234023631,0.10259808387862723,0.6376755070202809
0.39,0.7196286125277886,0.9027443864821955,0.6991487739804345,0.05301085065849416,0.7413444698908797
0.22,0.7195905477512796,0.8831934679065547,0.8395375428789227,0.10731936276539937,0.6296331586469748
0.21,0.7185551494302299,0.8812429122249943,0.8491932410113073,0.11179215328970982,0.6227522593869375
0.4,0.7181680594854247,0.9028577908822862,0.693304535637149,0.05160274993787791,0.7448812448812449
0.41000000000000003,0.716773723594464,0.9029938761623951,0.6875873459535002,0.05019464921726166,0.7485477178423237
0.42,0.7165689930740544,0.9034701746427761,0.6835217888451277,0.04873132886054281,0.7529741077676697
0.43,0.7155201286087481,0.9036743025629395,0.6785668911192987,0.04740605759408045,0.7567299518277132
0.2,0.7154324597310084,0.8785892492628714,0.8549104306949562,0.11626494381402026,0.6150822669104204
0.44,0.714247239429033,0.9037423452029939,0.673866090712743,0.04630166487202849,0.7597765363128491
0.19,0.7126859786551705,0.8760489907008392,0.8611358150171515,0.1207101245202794,0.6078923766816143
0.45,0.712603221876269,0.9036969834429576,0.6687841443272774,0.04525249178607913,0.7625669998551354
0.46,0.7115345355563115,0.9038557496030846,0.6642103925803583,0.044065269609873274,0.7661195779601406
0.47000000000000003,0.710436328819587,0.9039691540031753,0.6598907381527125,0.04298848670587261,0.7693675011109465
0.18,0.7092987012987012,0.8730777954184622,0.867361199339347,0.12567989176951325,0.5999648475261447
