threshold,F1_measure,accuracy,True Positive Rate / Recall,False Positive Rate,Positive Predictive Value / Precision
0.06,0.618178822947984,0.7897255613517804,0.9535001905729894,0.24586542974681797,0.4573430834856795
0.79,0.6170109748224661,0.8923565434338853,0.48570702579087793,0.01927165299980673,0.8456093784560937
0.8,0.6135257865715212,0.8919029258335224,0.48062507940541227,0.01871945663878075,0.8480161398789509
0.81,0.6090145896161057,0.8911998185529598,0.47465379240249017,0.018277699549959964,0.8494770350159163
0.8200000000000001,0.6033647927780058,0.8903833068723066,0.4670308728242917,0.01761506391672879,0.8521094112192861
0.8300000000000001,0.5976385104450499,0.8894760716715808,0.45978909922500316,0.017145697009856704,0.8535377358490566
0.84,0.5919640628899426,0.8887502835110003,0.4520391309871681,0.01634501228636903,0.8573493975903614
0.85,0.5837883242335153,0.8876162395100929,0.4414940922373269,0.015433888290676165,0.8614278631631135
0.05,0.5832344043196874,0.7531639827625312,0.96747554313302,0.2934095364311549,0.41744326280013155
0.86,0.5758372191606612,0.886527557269222,0.43145724812603226,0.014577983931085893,0.8654434250764526
0.87,0.5650570374817737,0.8849852574279882,0.4184982848430949,0.013639250117341727,0.8695881731784583
0.88,0.55343942951561,0.883533681106827,0.4042688349637911,0.012313978850879372,0.8770672546857773
0.04,0.54651369303449,0.7104332048083466,0.9773853385846779,0.34757999944780366,0.37930184399960554
0.89,0.5344567627494456,0.8809480607847584,0.3827976114851988,0.010795438858057926,0.8851351351351351
0.03,0.5249295726843838,0.6825357223860286,0.9824672849701436,0.3826444683729534,0.35814190440904037
0.9,0.5070012729587197,0.8770242685416194,0.3542116630669546,0.009359728319390375,0.8915893827950112
0.02,0.4929729045327932,0.6366976638693581,0.9893279125905222,0.43993484082939893,0.3282745246827705
0.91,0.46657879871963853,0.8714901338171921,0.314826578579596,0.007537480328004638,0.9007633587786259
0.01,0.43900389366648923,0.545770015876616,0.9955532969127175,0.5519754824815705,0.28158689090125055
0.92,0.41384751947923865,0.865207530052166,0.2665480879176725,0.004693669068720837,0.9250440917107584
0.93,0.3325673699603091,0.8550691766840554,0.2022614661415322,0.0030646898036941934,0.9348209042865532
0.0,0.30295798772156035,0.17852120662281695,1.0,1.0,0.17852120662281695
0.9400000000000001,0.2243367289824247,0.8428441823542754,0.12730275695591411,0.0016565890830779425,0.943502824858757
0.9500000000000001,0.004056795131845842,0.8218190065774552,0.002032778554186253,2.7609818051299043e-05,0.9411764705882353
0.96,0.0,0.821478793377183,0.0,0.0,0.0
0.97,0.0,0.821478793377183,0.0,0.0,0.0
0.98,0.0,0.821478793377183,0.0,0.0,0.0
0.99,0.0,0.821478793377183,0.0,0.0,0.0
1.0,0.0,0.821478793377183,0.0,0.0,0.0
